800;
800~0;150;
0;180;
0;210;
0;240;
0;270;
0;300;
0;330;
0;360;
0;390;
0;420;
0;450;
0;480;
0;510;
0;540;
0;570;
0;600;
0;630;
0;660;
0;690;
0;720;
0;750;
0;780;
30;150;
30;180;
30;210;
30;240;
30;270;
30;300;
30;330;
30;360;
30;390;
30;420;
30;450;
30;480;
30;510;
30;540;
30;570;
30;600;
30;630;
30;660;
30;690;
30;720;
30;750;
30;780;
60;660;
60;690;
60;720;
60;750;
60;780;
90;690;
90;720;
90;750;
90;780;
120;720;
120;750;
120;780;
150;0;
150;750;
150;780;
180;0;
180;150;
180;180;
180;210;
180;240;
180;270;
180;300;
180;330;
180;360;
180;390;
180;420;
180;450;
180;480;
180;780;
210;0;
210;150;
210;180;
210;210;
210;240;
210;270;
210;300;
210;330;
210;360;
210;390;
210;420;
210;450;
210;480;
210;510;
210;780;
240;0;
240;150;
240;180;
240;210;
240;240;
240;270;
240;300;
240;330;
240;360;
240;390;
240;420;
240;450;
240;480;
240;510;
240;540;
240;780;
270;0;
270;150;
270;180;
270;210;
270;240;
270;270;
270;300;
270;330;
270;360;
270;390;
270;420;
270;450;
270;480;
270;510;
270;540;
270;570;
270;780;
300;0;
300;150;
300;180;
300;210;
300;240;
300;270;
300;300;
300;330;
300;360;
300;390;
300;420;
300;450;
300;480;
300;510;
300;540;
300;570;
300;600;
300;780;
330;0;
330;150;
330;180;
330;210;
330;240;
330;270;
330;300;
330;330;
330;360;
330;390;
330;420;
330;450;
330;480;
330;510;
330;540;
330;570;
330;600;
330;630;
330;780;
360;0;
360;150;
360;180;
360;210;
360;240;
360;270;
360;300;
360;330;
360;360;
360;390;
360;420;
360;450;
360;480;
360;510;
360;540;
360;570;
360;600;
360;630;
360;780;
390;0;
390;150;
390;180;
390;210;
390;240;
390;270;
390;300;
390;330;
390;360;
390;390;
390;420;
390;450;
390;480;
390;510;
390;540;
390;570;
390;600;
390;630;
390;780;
420;0;
420;150;
420;180;
420;210;
420;240;
420;270;
420;300;
420;330;
420;360;
420;390;
420;420;
420;450;
420;480;
420;510;
420;540;
420;570;
420;600;
420;630;
420;780;
450;0;
450;150;
450;180;
450;210;
450;240;
450;270;
450;300;
450;330;
450;360;
450;390;
450;420;
450;450;
450;480;
450;510;
450;540;
450;570;
450;600;
450;630;
450;780;
480;0;
480;180;
480;210;
480;240;
480;270;
480;300;
480;330;
480;360;
480;390;
480;420;
480;450;
480;480;
480;510;
480;540;
480;570;
480;600;
480;630;
480;780;
510;0;
510;210;
510;240;
510;270;
510;300;
510;330;
510;360;
510;390;
510;420;
510;450;
510;480;
510;510;
510;540;
510;570;
510;600;
510;630;
510;780;
540;0;
540;240;
540;270;
540;300;
540;330;
540;360;
540;390;
540;420;
540;450;
540;480;
540;510;
540;540;
540;570;
540;600;
540;630;
540;780;
570;0;
570;30;
570;270;
570;300;
570;330;
570;360;
570;390;
570;420;
570;450;
570;480;
570;510;
570;540;
570;570;
570;600;
570;630;
570;780;
600;0;
600;30;
600;300;
600;330;
600;360;
600;390;
600;420;
600;450;
600;480;
600;510;
600;540;
600;570;
600;600;
600;630;
600;780;
630;0;
630;30;
660;0;
660;30;
660;60;
690;0;
690;30;
690;60;
720;0;
720;30;
720;60;
720;90;
720;120;
750;0;
750;30;
750;60;
750;90;
750;120;
750;150;
750;180;
750;210;
750;240;
750;270;
750;300;
750;330;
750;360;
750;390;
750;420;
750;450;
750;480;
750;510;
750;540;
750;570;
750;600;
750;630;
780;0;
780;30;
780;60;
780;90;
780;120;
780;150;
780;180;
780;210;
780;240;
780;270;
780;300;
780;330;
780;360;
780;390;
780;420;
780;450;
780;480;
780;510;
780;540;
780;570;
780;600;
780;630;
